,Name,City,Country,Arena,Capactity,Logo URL,Division,City,State,,,,,,,,,,,,,,,,,,,,
Team,老鹰,亚特兰大,USA,飞利浦球馆,20000,http://gmgames.org/dm16logos/Team0.png,东南,亚特兰大,乔治亚州,,,,,,,,,,,,,,,,,,,,
Team,凯尔特人,波士顿,USA,TD北岸花园,18700,http://gmgames.org/dm16logos/Team1.png,大西洋,波士顿,麻萨诸塞州,,,,,,,,,,,,,,,,,,,,
Team,篮网,布鲁克林,USA,巴克莱中心,19000,http://gmgames.org/dm16logos/Team2.png,大西洋,布鲁克林,纽约,,,,,,,,,,,,,,,,,,,,
Team,黄蜂,夏洛特,USA,时代华纳中心,19000,http://gmgames.org/dm16logos/Team3.png,东南,夏洛特,北卡罗莱纳,,,,,,,,,,,,,,,,,,,,
Team,公牛,芝加哥,USA,联合中心,23000,http://gmgames.org/dm16logos/Team4.png,中央,芝加哥,伊利诺斯州,,,,,,,,,,,,,,,,,,,,
Team,骑士,克利夫兰,USA,速贷球馆,21000,http://gmgames.org/dm16logos/Team5.png,中央,克利夫兰,俄亥俄州,,,,,,,,,,,,,,,,,,,,
Team,小牛,达拉斯,USA,美国航空中心,19000,http://gmgames.org/dm16logos/Team6.png,西南,达拉斯,德州,,,,,,,,,,,,,,,,,,,,
Team,掘金,丹佛,USA,百事中心球馆,19000,http://gmgames.org/dm16logos/Team7.png,西北,丹佛,科罗拉多州,,,,,,,,,,,,,,,,,,,,
Team,活塞,底特律,USA,奥本山的宫殿,22000,http://gmgames.org/dm16logos/Team8.png,中央,底特律,密歇根,,,,,,,,,,,,,,,,,,,,
Team,勇士,金州,USA,甲骨文球馆,20000,http://gmgames.org/dm16logos/Team9.png,太平洋,金州,加州,,,,,,,,,,,,,,,,,,,,
Team,火箭,休斯顿,USA,丰田中心,18000,http://gmgames.org/dm16logos/Team10.png,西南,休斯顿,德州,,,,,,,,,,,,,,,,,,,,
Team,步行者,印第安纳州,USA,银行家生活,19000,http://gmgames.org/dm16logos/Team11.png,中央,印第安纳州,印第安纳州,,,,,,,,,,,,,,,,,,,,
Team,快船,洛杉矶,USA,斯台普斯中心球馆,19000,http://gmgames.org/dm16logos/Team12.png,太平洋,洛杉矶,加州,,,,,,,,,,,,,,,,,,,,
Team,湖人,洛杉矶,USA,斯台普斯中心球馆,19000,http://gmgames.org/dm16logos/Team13.png,太平洋,洛杉矶,加州,,,,,,,,,,,,,,,,,,,,
Team,灰熊,孟菲斯,USA,联邦快递球馆,18000,http://gmgames.org/dm16logos/Team14.png,西南,孟菲斯,田纳西州,,,,,,,,,,,,,,,,,,,,
Team,热火,迈阿密,USA,美航球馆,20000,http://gmgames.org/dm16logos/Team15.png,东南,迈阿密,佛罗里达,,,,,,,,,,,,,,,,,,,,
Team,雄鹿,密尔沃基,USA,布拉德利中心,19000,http://gmgames.org/dm16logos/Team16.png,中央,密尔沃基,威斯康辛州,,,,,,,,,,,,,,,,,,,,
Team,森林狼,明尼苏达州,USA,目标中心,20000,http://gmgames.org/dm16logos/Team17.png,西北,明尼苏达州,明尼苏达州,,,,,,,,,,,,,,,,,,,,
Team,鹈鹕,新奥尔良,USA,冰沙王中心球馆,19000,http://gmgames.org/dm16logos/Team18.png,西南,新奥尔良,路易斯安那州,,,,,,,,,,,,,,,,,,,,
Team,尼克斯,纽约,USA,麦迪逊广场花园,20000,http://gmgames.org/dm16logos/Team19.png,大西洋,纽约,纽约,,,,,,,,,,,,,,,,,,,,
Team,雷霆,俄克拉荷马城,USA,切萨皮克能源球馆,19000,http://gmgames.org/dm16logos/Team20.png,西北,俄克拉荷马城,俄克拉何马州,,,,,,,,,,,,,,,,,,,,
Team,魔术,奥兰多,USA,安利球馆,19000,http://gmgames.org/dm16logos/Team21.png,东南,奥兰多,佛罗里达,,,,,,,,,,,,,,,,,,,,
Team,76人,费城,USA,富国银行,22000,http://gmgames.org/dm16logos/Team22.png,大西洋,费城,宾西法尼亚,,,,,,,,,,,,,,,,,,,,
Team,太阳,凤凰城,USA,美国空中走廊中心,18000,http://gmgames.org/dm16logos/Team23.png,太平洋,凤凰城,亚利桑那州,,,,,,,,,,,,,,,,,,,,
Team,开拓者,波特兰,USA,摩达中心球馆,20000,http://gmgames.org/dm16logos/Team24.png,西北,波特兰,俄勒冈州,,,,,,,,,,,,,,,,,,,,
Team,国王,萨克拉门托,USA,黄金一号球馆,17000,http://gmgames.org/dm16logos/Team25.png,太平洋,萨克拉门托,加州,,,,,,,,,,,,,,,,,,,,
Team,马刺,圣安东尼奥,USA,T中心球馆,19000,http://gmgames.org/dm16logos/Team26.png,西南,圣安东尼奥,德州,,,,,,,,,,,,,,,,,,,,
Team,猛龙,多伦多,Canada,加拿大航空中心,20000,http://gmgames.org/dm16logos/Team27.png,大西洋,多伦多,加拿大,,,,,,,,,,,,,,,,,,,,
Team,爵士,犹他州,USA,能源方案球馆,20000,http://gmgames.org/dm16logos/Team28.png,西北,犹他州,犹他州,,,,,,,,,,,,,,,,,,,,
Team,奇才,华盛顿,USA,凡泽中心球馆,20000,http://gmgames.org/dm16logos/Team29.png,东南,华盛顿,特区,,,,,,,,,,,,,,,,,,,,
NewFranchiseLogo,,,,,,http://gmgames.org/dm16logos/Team30.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type,FirstName,Last Name,Position,Age,Height,Weight,Team ID,Defence,TurnOvers,FTA,FTPerc,2PTA,2PTPerc,3PTA,ThreePerc,OffReb,Fame,DefReb,FastBreak,Assists,Personality,Potential,Steals,Blocks,Stamina,Trait,,,
//球员,//姓,//名,//位置,//年龄,//身高,//体重,//球队,//防御,//失误,//罚篮出手,//罚中率,//2分出手,//2分中率,//3分出手,//3分中率,//进攻篮板,//名望,//防守篮板,//快攻,//助攻,//个性,//潜力,//抢断,//盖帽,//体力,//特性,//城市,//省份,
// 索引,//仅一个,//全部,//C PF SF SG PG,//19-40,//170-222,//160-290,//0-29,//24-99,//0.3-4,//0.3-9,//0.3-0.9,//2-17,//0.3-0.7,//0.1-9,//0.1-0.5,//0.2-5,//1-100,//1-11,//10-100,//0.2-11,//15-98,//35-85,//0.1-2,//0-3,//32-100,//CG EX HF HH IH PT R SP,//城市,//省份,
players,詹姆斯,哈登,SG,28,200,200,10,76,4.3,9.9,0.87,10.1,0.51,10.7,0.41,0.5,97,4.5,96,8.9,66,89,1.8,0.7,92,,,,
